"node","time","Ssows","Isows","Sgilts","Igilts","Spiglets","Ipiglets","Sgrowers","Igrowers","Sfinish","Ifinish","pentype","section","countdown","phi"
83,730,0,0,0,0,0,0,0,0,0,0,6,1,99999,0
84,730,0,0,0,0,0,0,0,0,0,0,6,1,99999,0
85,730,0,0,0,0,0,0,0,0,0,0,6,1,99999,0
86,730,0,0,0,0,0,0,0,0,0,0,6,1,99999,0
87,730,0,0,0,0,0,0,0,0,0,0,6,1,99999,0
88,730,0,0,0,0,0,0,0,0,0,0,6,1,99999,0
89,730,0,0,0,0,0,0,0,0,0,0,6,1,99999,0
90,730,0,0,0,0,0,0,0,0,0,0,6,1,99999,0
91,730,0,0,0,0,0,0,0,0,0,0,6,1,99999,0
92,730,0,0,0,0,0,0,0,0,0,0,6,1,99999,0
93,730,0,0,0,0,0,0,0,0,0,0,6,1,99999,0
94,730,0,0,0,0,0,0,0,0,0,0,6,1,99999,0
95,730,0,0,0,0,0,0,0,0,0,0,6,1,99999,0
96,730,0,0,0,0,0,0,0,0,0,0,6,1,99999,0
97,730,0,0,0,0,0,0,0,0,0,0,6,1,99999,0
98,730,0,0,0,0,0,0,0,0,0,0,6,1,99999,0
99,730,0,0,0,0,0,0,0,0,0,0,7,1,99999,0
100,730,0,0,0,0,0,0,0,0,0,0,7,1,99999,0
101,730,0,0,0,0,0,0,0,0,0,0,7,1,99999,0
102,730,0,0,0,0,0,0,0,0,0,0,7,1,99999,0
103,730,0,0,0,0,0,0,0,0,0,0,7,1,99999,0
104,730,0,0,0,0,0,0,0,0,0,0,7,1,99999,0
105,730,0,0,0,0,0,0,0,0,0,0,7,1,99999,0
106,730,0,0,0,0,0,0,0,0,0,0,7,1,99999,0
107,730,0,0,0,0,0,0,0,0,0,0,7,1,99999,0
108,730,0,0,0,0,0,0,0,0,0,0,7,1,99999,0
109,730,0,0,0,0,0,0,0,0,0,0,7,1,99999,0
110,730,0,0,0,0,0,0,0,0,0,0,7,1,99999,0
111,730,0,0,0,0,0,0,0,0,0,0,7,1,99999,0
112,730,0,0,0,0,0,0,0,0,0,0,7,1,99999,0
113,730,0,0,0,0,0,0,0,0,0,0,7,1,99999,0
114,730,0,0,0,0,0,0,0,0,0,0,7,1,99999,0
115,730,0,0,0,0,0,0,0,0,0,0,7,1,99999,0
116,730,0,0,0,0,0,0,0,0,0,0,7,1,99999,0
117,730,0,0,0,0,0,0,0,0,0,0,7,1,99999,0
118,730,0,0,0,0,0,0,0,0,0,0,7,1,99999,0
119,730,0,0,0,0,0,0,0,0,0,0,7,1,99999,0
120,730,0,0,0,0,0,0,0,0,0,0,7,1,99999,0
121,730,0,0,0,0,0,0,0,0,0,0,7,1,99999,0
122,730,0,0,0,0,0,0,0,0,0,0,7,1,99999,0
123,730,0,0,0,0,0,0,0,0,0,0,7,1,99999,0
124,730,0,0,0,0,0,0,0,0,0,0,7,1,99999,0
125,730,0,1,0,0,0,15,0,0,0,0,7,2,99999,0
126,730,0,1,0,0,0,12,0,0,0,0,7,2,99999,0
127,730,0,1,0,0,0,8,0,0,0,0,7,2,99999,0
128,730,0,1,0,0,0,15,0,0,0,0,7,2,99999,0
129,730,0,1,0,0,0,12,0,0,0,0,7,2,99999,0
130,730,0,1,0,0,0,16,0,0,0,0,7,2,99999,0
131,730,0,1,0,0,0,12,0,0,0,0,7,2,99999,0
132,730,0,1,0,0,0,13,0,0,0,0,7,2,99999,0
133,730,0,1,0,0,0,14,0,0,0,0,7,2,99999,0
134,730,0,1,0,0,0,11,0,0,0,0,7,2,99999,0
135,730,0,1,0,0,0,9,0,0,0,0,7,2,99999,0
136,730,0,1,0,0,0,8,0,0,0,0,7,2,99999,0
137,730,0,1,0,0,0,10,0,0,0,0,7,2,99999,0
138,730,0,1,0,0,0,9,0,0,0,0,7,2,99999,0
139,730,0,1,0,0,0,16,0,0,0,0,7,2,99999,0
140,730,0,1,0,0,0,8,0,0,0,0,7,2,99999,0
141,730,0,1,0,0,0,15,0,0,0,0,7,2,99999,0
142,730,0,1,0,0,0,8,0,0,0,0,7,2,99999,0
143,730,0,1,0,0,0,19,0,0,0,0,7,2,99999,0
144,730,0,0,0,0,0,0,0,0,0,0,7,2,99999,0
145,730,0,0,0,0,0,0,0,0,0,0,7,2,99999,0
146,730,0,0,0,0,0,0,0,0,0,0,7,2,99999,0
147,730,0,0,0,0,0,0,0,0,0,0,7,2,99999,0
148,730,0,0,0,0,0,0,0,0,0,0,7,2,99999,0
149,730,0,0,0,0,0,0,0,0,0,0,7,2,99999,0
150,730,0,0,0,0,0,0,0,0,0,0,7,2,99999,0
151,730,0,1,0,0,0,14,0,0,0,0,7,3,99999,0
152,730,0,1,0,0,0,13,0,0,0,0,7,3,99999,0
153,730,0,1,0,0,0,9,0,0,0,0,7,3,99999,0
154,730,0,1,0,0,0,12,0,0,0,0,7,3,99999,0
155,730,0,1,0,0,0,15,0,0,0,0,7,3,99999,0
156,730,0,1,0,0,0,11,0,0,0,0,7,3,99999,0
157,730,0,1,0,0,0,8,0,0,0,0,7,3,99999,0
158,730,0,1,0,0,0,13,0,0,0,0,7,3,99999,0
159,730,0,1,0,0,0,16,0,0,0,0,7,3,99999,0
160,730,0,1,0,0,0,13,0,0,0,0,7,3,99999,0
161,730,0,1,0,0,0,13,0,0,0,0,7,3,99999,0
162,730,0,1,0,0,0,14,0,0,0,0,7,3,99999,0
163,730,0,1,0,0,0,16,0,0,0,0,7,3,99999,0
164,730,0,1,0,0,0,13,0,0,0,0,7,3,99999,0
165,730,0,1,0,0,0,12,0,0,0,0,7,3,99999,0
166,730,0,1,0,0,0,13,0,0,0,0,7,3,99999,0
167,730,0,1,0,0,0,13,0,0,0,0,7,3,99999,0
168,730,0,1,0,0,0,14,0,0,0,0,7,3,99999,0
169,730,0,1,0,0,0,11,0,0,0,0,7,3,99999,0
170,730,0,1,0,0,0,19,0,0,0,0,7,3,99999,0
171,730,0,1,0,0,0,14,0,0,0,0,7,3,99999,0
172,730,0,1,0,0,0,9,0,0,0,0,7,3,99999,0
173,730,0,1,0,0,0,14,0,0,0,0,7,3,99999,0
174,730,0,0,0,0,0,0,0,0,0,0,7,3,99999,0
175,730,0,0,0,0,0,0,0,0,0,0,7,3,99999,0
176,730,0,0,0,0,0,0,0,0,0,0,7,3,99999,0
177,730,0,1,0,0,0,17,0,0,0,0,7,4,99999,0
178,730,0,1,0,0,0,15,0,0,0,0,7,4,99999,0
179,730,0,1,0,0,0,17,0,0,0,0,7,4,99999,0
180,730,0,1,0,0,0,19,0,0,0,0,7,4,99999,0
181,730,0,1,0,0,0,9,0,0,0,0,7,4,99999,0
182,730,0,1,0,0,0,8,0,0,0,0,7,4,99999,0
183,730,0,1,0,0,0,19,0,0,0,0,7,4,99999,0
184,730,0,1,0,0,0,12,0,0,0,0,7,4,99999,0
185,730,0,1,0,0,0,17,0,0,0,0,7,4,99999,0
186,730,0,1,0,0,0,8,0,0,0,0,7,4,99999,0
187,730,0,1,0,0,0,14,0,0,0,0,7,4,99999,0
188,730,0,1,0,0,0,23,0,0,0,0,7,4,99999,0
189,730,0,1,0,0,0,7,0,0,0,0,7,4,99999,0
190,730,0,1,0,0,0,9,0,0,0,0,7,4,99999,0
191,730,0,1,0,0,0,15,0,0,0,0,7,4,99999,0
192,730,0,1,0,0,0,7,0,0,0,0,7,4,99999,0
193,730,0,1,0,0,0,9,0,0,0,0,7,4,99999,0
